"company_id","name"
"INE829A01014","Biofil Chemicals & Pharmaceuticals Limited"
"INE800A01015","Birla Cable Limited"
"INE340A01012","Birla Corporation Limited"
"INE865C01022","Aditya Birla Money Limited"
"INE557A01011","BirlaNu Limited"
"INE0UIZ01018","Zinka Logistics Solutions Limited"
"INE0N7W01012","BEML Land Assets Limited"
"INE791A01024","BLB Limited"
"INE416D01022","Bliss GVS Pharma Limited"
"INE350H01032","B. L. Kashyap and Sons Limited"
"INE153T01027","BLS International Services Limited"
"INE0NLT01010","BLS E-Services Limited"
"INE657B01025","Blue Chip India Limited"
"INE472B01011","Blue Coast Hotels Limited"
"INE233B01017","Blue Dart Express Limited"
"INE0KBH01020","Blue Jet Healthcare Limited"
"INE472A01039","Blue Star Limited"
"INE338D01028","Bodal Chemicals Limited"
"INE802W01023","Bohra Industries Limited"
"INE032A01023","Bombay Dyeing & Mfg Company Limited"
"INE02PY01013","Borosil Limited"
"INE666D01022","BOROSIL RENEWABLES LIMITED"
"INE02L001032","Borosil Scientific Limited"
"INE323A01026","Bosch Limited"
"INE029A01011","Bharat Petroleum Corporation Limited"
"INE110A01019","BPL Limited"
"INE791I01019","Brigade Enterprises Limited"
"INE216A01030","Britannia Industries Limited"
"INE727S01012","Bharat Road Network Limited"
"INE650L01011","Brooks Laboratories Limited"
"INE118H01025","BSE Limited"
"INE032Z01020","Bombay Super Hybrid Seeds Limited"
"INE594B01012","BSL Limited"
"INE836A01035","BIRLASOFT LIMITED"
"INE0EEJ01023","Bodhi Tree Multimedia Limited"
"INE295F01017","Butterfly Gandhimathi Appliances Limited"
"INE139I01011","Barak Valley Cements Limited"
"INE319B01014","The Byke Hospitality Ltd"
"INE526B01014","California Software Company Limited"
"INE052I01032","Camlin Fine Sciences Limited"
"INE278Y01022","Campus Activewear Limited"
"INE596I01012","Computer Age Management Services Limited"
"INE476A01022","Canara Bank"
"INE477A01020","Can Fin Homes Limited"
"INE068L01024","Cantabil Retail India Limited"
"INE264T01014","Capacit'e Infraprojects Limited"
"INE646H01017","Capital Small Finance Bank Limited"
"INE475E01026","Caplin Point Laboratories Limited"
"INE120A01034","Carborundum Universal Limited"
"INE752H01013","CARE Ratings Limited"
"INE0V7W01012","Carraro India Limited"
"INE290S01011","Cartrade Tech Limited"
"INE482D01024","CARYSIL LIMITED"
"INE172A01027","Castrol India Limited"
"INE429I01024","Consolidated Construction Consortium Limited"
"INE652F01027","Country Club Hospitality & Holidays Limited"
"INE421D01022","CCL Products (India) Limited"
"INE736A01011","Central Depository Services (India) Limited"
"INE482A01020","CEAT Limited"
"INE0AG901020","Ceigall India Limited"
"INE185H01016","Celebrity Fashions Limited"
"INE0LMW01024","Cello World Limited"
"INE485A01015","Century Enka Limited"
"INE281A01026","Century Extrusions Limited"
"INE483A01010","Central Bank of India"
"INE660C01027","Centrum Capital Limited"
"INE320B01020","Centum Electronics Limited"
"INE348B01021","Century Plyboards (India) Limited"
"INE739E01017","Cera Sanitaryware Limited"
"INE345B01019","Cerebra Integrated Technologies Limited"
"INE486A01021","CESC Limited"
"INE037Z01029","Concord Enviro Systems Limited"
"INE180C01042","Capri Global Capital Limited"
"INE067A01029","CG Power and Industrial Solutions Limited"
"INE427F01016","Chalet Hotels Limited"
"INE085A01013","Chambal Fertilizers & Chemicals Limited"
"INE995D01025","Chembond Chemicals Ltd"
"INE03YM01018","Chemcon Speciality Chemicals Limited"
"INE783X01023","Chemfab Alkalis Limited"
"INE488A01050","Chemplast Sanmar Limited"
"INE178A01016","Chennai Petroleum Corporation Limited"
"INE974B01016","Cheviot Company Limited"
"INE102B01014","Choice International Limited"
"INE121A01024","Cholamandalam Investment and Finance Company Limited"
"INE149A01033","Cholamandalam Financial Holdings Limited"
"INE536H01010","CIE Automotive India Limited"
"INE675C01017","Cigniti Technologies Limited"
"INE704H01022","Cineline India Limited"
"INE039B01026","Cinevista Limited"
"INE059A01026","Cipla Limited"
"INE227W01023","Clean Science and Technology Limited"
"INE201M01029","CL Educate Limited"
"INE419D01026","Chaman Lal Setia Exports Limited"
"INE925R01014","CMS Info Systems Limited"
"INE522F01014","Coal India Limited"
"INE377E01024","Coastal Corporation Limited"
"INE704P01025","Cochin Shipyard Limited"
"INE335K01011","Coffee Day Enterprises Limited"
"INE591G01017","Coforge Limited"
"INE259A01022","Colgate Palmolive (India) Limited"
"INE070C01037","Compuage Infocom Limited"
"INE453B01029","Compucom Software Limited"
"INE073V01015","Commercial Syn Bags Limited"
"INE111A01025","Container Corporation of India Limited"
"INE338H01029","Concord Biotech Limited"
"INE552D01024","Confidence Petroleum India Limited"
"INE025A01027","Consolidated Finvest & Holdings Limited"
"INE663B01015","Control Print Limited"
"INE558D01021","Coral India Finance & Housing Limited"
"INE792I01017","Cords Cable Industries Limited"
"INE169A01031","Coromandel International Limited"
"INE757A01017","COSMO FIRST LIMITED"
"INE695B01025","Country Condo's Limited"
"INE521J01018","CP Capital Limited"
"INE00LO01017","Craftsman Automation Limited"
"INE985W01018","Creative Newtech Limited"
"INE230B01021","Creative Eye Limited"
"INE741K01010","CREDITACCESS GRAMEEN LIMITED"
"INE559D01011","Crest Ventures Limited"
"INE007A01025","CRISIL Limited"
"INE299U01018","Crompton Greaves Consumer Electricals Limited"
"INE491V01019","Crown Lifters Limited"
"INE679A01013","CSB Bank Limited"
"INE718F01018","CSL Finance Limited"
"INE627H01017","Cambridge Technology Enterprises Limited"
"INE491A01021","City Union Bank Limited"
"INE144D01012","Cubex Tubings Limited"
"INE298A01020","Cummins India Limited"
"INE509F01029","Cupid Limited"
"INE117B01020","Cura Technologies Limited"
"INE278G01037","Cyber Media (India) Limited"
"INE214A01019","Cybertech Systems And Software Limited"
"INE136B01020","Cyient Limited"
"INE055S01018","Cyient DLM Limited"
"INE016A01026","Dabur India Limited"
"INE00R701025","Dalmia Bharat Limited"
"INE495A01022","Dalmia Bharat Sugar and Industries Limited"
"INE284H01025","Dam Capital Advisors Limited"
"INE497D01022","Damodar Industries Limited"
"INE688Y01022","Dangee Dums Limited"
"INE365B01017","Datamatics Global Services Limited"
"INE0IX101010","Data Patterns (India) Limited"
"INE179G01029","Davangere Sugar Company Limited"
"INE950I01011","D.B.Corp Limited"
"INE0OPA01019","Deepak Builders & Engineers India Limited"
"INE917M01012","Dilip Buildcon Limited"
"INE0I3401014","Dhampur Bio Organics Limited"
"INE879I01012","Valor Estate Limited"
"INE921B01025","DB (International) Stock Brokers Limited"
"INE385W01011","Dishman Carbogen Amcis Limited"
"INE503A01015","DCB Bank Limited"
"INE0A1101019","Dc Infotech And Communication Limited"
"INE498A01018","DCM  Limited"
"INE891B01012","DCM Financial Services Limited"
"INE08KP01019","DCM Nouvelle Limited"
"INE499A01024","DCM Shriram Limited"
"INE843D01027","DCM Shriram Industries Limited"
"INE500A01029","DCW Limited"
"INE0KL801015","DCX Systems Limited"
"INE0HR601026","Ddev Plastiks Industries Limited"
"INE583C01021","Deccan Cements Limited"
"INE841L01016","DEE Development Engineers Limited"
"INE501A01019","Deepak Fertilizers and Petrochemicals Corporation Limited"
"INE288B01029","Deepak Nitrite Limited"
"INE0FHS01024","Deep Industries Limited"
"INE148O01028","Delhivery Limited"
"INE726L01019","DELPHI WORLD MONEY LIMITED"
"INE124G01033","Delta Corp Limited"
"INE393A01011","Delta Manufacturing Limited"
"INE947J01015","Den Networks Limited"
"INE244A01016","De Nora India Limited"
"INE045J01026","Fineotex Chemical Limited"
"INE0R4L01018","Denta Water and Infra Solutions Limited"
"INE060X01026","Dev Information Technology Limited"
"INE872J01023","Devyani International Limited"
"INE03JI01017","Digicontent Limited"
"INE041A01016","Dhampur Sugar Mills Limited"
"INE680A01011","Dhanlaxmi Bank Limited"
"INE274G01010","Dhani Services Limited"
"INE435G01025","Dhanuka Agritech Limited"
"INE00OQ01016","Dharmaj Crop Guard Limited"
"INE506Z01015","Dhruv Consultancy Services Limited"
"INE320L01011","Dhunseri Investments Limited"
"INE989C01038","Diamond Power Infrastructure Limited"
"INE591D01014","Diamines & Chemicals Limited"
"INE393P01035","Prataap Snacks Limited"
"INE303A01010","DIC India Limited"
"INE184O01015","Diffusion Engineers Limited"
"INE0PSC01024","Digidrive Distributors Limited"
"INE927C01020","DiGiSPICE Technologies Limited"
"INE731U01028","Digjam Limited"
"INE411Y01011","Debock Industries Limited"
"INE836F01026","Dish TV India Limited"
"INE753U01022","Divgi Torqtransfer Systems Limited"
"INE361B01024","Divi's Laboratories Limited"
"INE935N01020","Dixon Technologies (India) Limited"
"INE0B1K01014","DJ Mediaprint & Logistics Limited"
"INE271C01023","DLF Limited"
"INE250K01012","D-Link (India) Limited"
"INE192R01011","Avenue Supermarts Limited"
"INE505A01010","DMCC SPECIALITY CHEMICALS LIMITED"
"INE016M01021","Diligent Media Corporation Limited"
"INE021O01019","Dodla Dairy Limited"
"INE966A01022","Dolat Algotech Limited"
"INE325C01035","Dollar Industries Limited"
"INE920A01037","Dolphin Offshore Enterprises (India) Limited"
"INE321T01012","DOMS Industries Limited"
"INE668D01028","Donear Industries Limited"
"INE266Y01019","D. P. Abhushan Limited"
"INE360C01024","DPSC Limited"
"INE864X01013","D P Wires Limited"
"INE03RS01027","DRC Systems India Limited"
"INE0JS101016","Dreamfolks Services Limited"
"INE506A01018","Dredging Corporation of India Limited"
"INE089A01031","Dr. Reddy's Laboratories Limited"
"INE417B01040","Dynacons Systems & Solutions Limited"
"INE341R01014","Dhunseri Tea & Industries Limited"
"INE741L01018","Ducon Infratechnologies Limited"
"INE477B01010","Dhunseri Ventures Limited"
"INE366A01041","Dwarikesh Sugar Industries Limited"
"INE600Y01019","Dynamic Cables Limited"
"INE221B01012","Dynamatic Technologies Limited"
"INE256H01015","Dynemic Products Limited"
"INE255Z01019","E2E Networks Limited"
"INE07O001026","Easy Trip Planners Limited"
"INE738I01010","eClerx Services Limited"
"INE06HJ01020","Ecos (India) Mobility & Hospitality Limited"
"INE532F01054","Edelweiss Financial Services Limited"
"INE066A01021","Eicher Motors Limited"
"INE126A01031","EID Parry India Limited"
"INE0LLY01014","Enviro Infra Engineers Limited"
"INE546V01010","Euro India Fresh Foods Limited"
"INE276C01014","EIH Associated Hotels Limited"
"INE230A01023","EIH Limited"
"INE158B01016","Eimco Elecon (India) Limited"
"INE184H01027","Everest Kanto Cylinder Limited"
"INE668G01021","Eldeco Housing And Industries Limited"
"INE205B01031","Elecon Engineering Company Limited"
"INE086A01029","Electrosteel Castings Limited"
"INE822G01016","Electrotherm (India) Limited"
"INE285A01027","Elgi Equipments Limited"
"INE819L01012","Elgi Rubber Company Limited"
"INE050401020","Elin Electronics Limited"
"INE548C01032","Emami Limited"
"INE830C01026","Emami Paper Mills Limited"
"INE778K01012","Emami Realty Limited"
"INE069I01010","Embassy Developments Limited"
"INE168P01015","Emcure Pharmaceuticals Limited"
"INE02YR01019","Electronics Mart India Limited"
"INE296H01011","Emkay Global Financial Services Limited"
"INE753K01015","Emmbi Industries Limited"
"INE0OV601013","EMS Limited"
"INE01QM01018","eMudhra Limited"
"INE913H01037","Endurance Technologies Limited"
"INE306C01019","Energy Development Company Limited"
"INE510A01028","Engineers India Limited"
"INE265F01028","Entertainment Network (India) Limited"
"INE010601016","Entero Healthcare Solutions Limited"
"INE0G5901015","EPACK Durable Limited"
"INE071N01016","Epigral Limited"
"INE255A01020","EPL Limited"
"INE217G01035","Equippp Social Impact Technologies Limited"
"INE063P01018","Equitas Small Finance Bank Limited"
"INE406M01024","Eris Lifesciences Limited"
"INE284A01012","Esab India Limited"
"INE818W01011","ESAF Small Finance Bank Limited"
"INE042A01014","Escorts Kubota Limited"
"INE122M01019","Essar Shipping Limited"
"INE418N01035","Integra Essentia Limited"
"INE778B01029","Ester Industries Limited"
"INE758T01015","ETERNAL LIMITED"
